name,price_usd,price_inr,positive_reviews,negative_reviews,user_rating_pct,jes,category,joy_per_1000_inr,rank_in_category
Arma 3,29.99,2489.17,256128,27136,90.4202440126525,0.0363108719535824,Indie/AA,36.310871953582485,1301.0
RiME,29.99,2489.17,4585,494,90.27367592045678,0.036252013284417,Indie/AA,36.25201328441704,1302.0
Conquest of Elysium 5,29.99,2489.17,955,110,89.67136150234741,0.0360101364574898,Indie/AA,36.010136457489814,1303.0
SUPERHOT VR,24.99,2074.17,7652,2597,74.66094253097863,0.0359782295093792,Indie/AA,35.9782295093793,1304.0
Rayman® Legends,29.99,2489.17,8994,1049,89.55491387035747,0.0359633735328742,Indie/AA,35.96337353287424,1305.0
Soulmask,26.99,2240.17,11979,2887,80.57984662989371,0.0359543660810619,Indie/AA,35.95436608106199,1306.0
Mega Man 11,29.99,2489.17,4106,481,89.513843470678,0.0359468805224856,Indie/AA,35.946880522485614,1307.0
Tomb Raider I-III Remastered Starring Lara Croft,29.99,2489.17,6128,721,89.4729157541247,0.0359304448106453,Indie/AA,35.930444810645334,1308.0
Crysis 2 Remastered,29.99,2489.17,6022,731,89.17518140085889,0.0358108809442162,Indie/AA,35.810880944216215,1309.0
Dragon's Dogma: Dark Arisen,29.99,2489.17,41310,5376,88.4847705950392,0.0355336264572455,Indie/AA,35.53362645724557,1310.0
The Invincible,29.99,2489.17,6306,821,88.4804265469342,0.0355318819787139,Indie/AA,35.531881978713976,1311.0
Good Company,24.99,2074.17,1263,450,73.73029772329247,0.0355297627294595,Indie/AA,35.5297627294595,1312.0
War of Rights,29.99,2489.17,11619,1526,88.39102320273868,0.0354959794723808,Indie/AA,35.495979472380874,1313.0
Serious Sam 3: BFE,29.99,2489.17,24491,3224,88.36731012087317,0.035486456796473,Indie/AA,35.486456796473,1314.0
FINAL FANTASY® XIII-2,19.99,1659.1699999999998,3378,2370,58.76826722338204,0.0353989454232892,Indie/AA,35.39894542328921,1315.0
Wreckfest,29.99,2489.17,34031,4586,88.12440117046897,0.0353889096609745,Indie/AA,35.38890966097454,1316.0
Monster Hunter: World,29.99,2489.17,434239,59151,88.01130951174527,0.0353434944247763,Indie/AA,35.34349442477633,1317.0
Killing Floor 2,29.99,2489.17,111325,15541,87.75006699982659,0.0352385849158196,Indie/AA,35.23858491581964,1318.0
Dark and Light,17.99,1493.1699999999998,6133,5557,52.463644140290846,0.0351122323030785,Indie/AA,35.112232303078535,1319.0
Inkbound,29.99,2489.17,3225,468,87.32737611697806,0.0350688411301148,Indie/AA,35.06884113011483,1320.0
Shadow Warrior 2,29.99,2489.17,23758,3472,87.24935732647815,0.0350375104215688,Indie/AA,35.03751042156886,1321.0
Journey To The Savage Planet,29.99,2489.17,5422,795,87.21248190445553,0.035022702026149,Indie/AA,35.02270202614903,1322.0
Persona 4 Arena Ultimax,29.99,2489.17,3461,526,86.80712315023827,0.0348599184594779,Indie/AA,34.859918459477974,1323.0
Onimusha 2: Samurai's Destiny,29.99,2489.17,354,55,86.55256723716381,0.0347576941482564,Indie/AA,34.75769414825647,1324.0
Cities in Motion 2,19.99,1659.1699999999998,1432,1051,57.672170761176,0.0347387139637362,Indie/AA,34.738713963736245,1325.0
Observer: System Redux,29.99,2489.17,2181,341,86.47898493259318,0.0347281450393319,Indie/AA,34.72814503933192,1326.0
Gujian3(古剑奇谭三),29.99,2489.17,41193,6652,86.09677082244748,0.0345746558758829,Indie/AA,34.57465587588297,1327.0
Songs of Conquest,29.99,2489.17,10044,1632,86.02261048304214,0.0345448746403025,Indie/AA,34.544874640302524,1328.0
They Are Billions,29.99,2489.17,41508,7257,85.11842509996924,0.0341817727705213,Indie/AA,34.18177277052139,1329.0
Crime Boss: Rockay City,19.99,1659.1699999999998,5413,4144,56.639112692267446,0.0341164535513034,Indie/AA,34.11645355130345,1330.0
RimWorld,34.99,2904.17,206216,4301,97.9569345943558,0.0337181420000742,Indie/AA,33.71814200007428,1331.0
RuneScape: Dragonwilds,29.99,2489.17,15430,2970,83.8586956521739,0.0336758918676933,Indie/AA,33.67589186769333,1332.0
ENDLESS™ Legend,29.99,2489.17,15589,3042,83.67237400032205,0.0336010690034503,Indie/AA,33.601069003450384,1333.0
ArcaniA,19.99,1659.1699999999998,1688,1338,55.783212161269006,0.0336009036190685,Indie/AA,33.60090361906853,1334.0
Farming Simulator 25,29.99,2489.17,28079,5496,83.63067758749068,0.0335843245993208,Indie/AA,33.5843245993208,1335.0
Hello Neighbor,29.99,2489.17,16402,3219,83.59410835329494,0.0335696391625049,Indie/AA,33.56963916250495,1336.0
Transport Fever,29.99,2489.17,8934,1788,83.32400671516508,0.0334611720144267,Indie/AA,33.46117201442676,1337.0
World War Z,29.99,2489.17,21657,4401,83.1107529357587,0.0333755337730993,Indie/AA,33.375533773099306,1338.0
The Lord of the Rings: Return to Moria™,29.99,2489.17,6840,1404,82.96943231441048,0.0333187823780747,Indie/AA,33.318782378074786,1339.0
For The King II,24.99,2074.17,8827,3999,68.82114455013254,0.0331640995919045,Indie/AA,33.164099591904545,1340.0
Partisans 1941,29.99,2489.17,6728,1458,82.1891033471781,0.0330054186449833,Indie/AA,33.005418644983315,1341.0
SONG OF HORROR COMPLETE EDITION,29.99,2489.17,992,215,82.18724109362054,0.0330046708030457,Indie/AA,33.00467080304579,1342.0
Chernobylite Complete Edition,29.99,2489.17,11784,2556,82.17573221757321,0.0330000490800118,Indie/AA,33.00004908001189,1343.0
MX Bikes,34.99,2904.17,26514,1602,94.3021766965429,0.032460123399506,Indie/AA,32.46012339950602,1344.0
Assassin’s Creed® Liberation HD,19.99,1659.1699999999998,1596,1374,53.73737373737374,0.0323685970336614,Indie/AA,32.36859703366145,1345.0
Else Heart.Break(),24.99,2074.17,540,264,67.16417910447761,0.0323656274447286,Indie/AA,32.36562744472868,1346.0
MORDHAU,29.99,2489.17,90102,22098,80.3048128342246,0.0322487271287601,Indie/AA,32.24872712876012,1347.0
Age of Wonders III,29.99,2489.17,10093,2485,80.24328192081413,0.0322240176055506,Indie/AA,32.22401760555067,1348.0
3DMark,34.99,2904.17,17160,1192,93.50479511769836,0.0321856535478813,Indie/AA,32.18565354788132,1349.0
Assassin's Creed® Syndicate,29.99,2489.17,23779,5900,80.12062401024293,0.0321747607634189,Indie/AA,32.17476076341894,1350.0
Crysis,29.99,2489.17,10565,2649,79.95308006659604,0.0321074786326218,Indie/AA,32.107478632621884,1351.0
FOUNDRY,29.99,2489.17,2197,586,78.94358605821057,0.0317020870294841,Indie/AA,31.70208702948416,1352.0
Assassin's Creed® Unity,29.99,2489.17,58065,16229,78.15570570974776,0.0313856908202041,Indie/AA,31.385690820204147,1353.0
Police Simulator: Patrol Officers,29.99,2489.17,15108,4313,77.79208073734617,0.0312396666642623,Indie/AA,31.239666664262344,1354.0
The Crew™ 2,29.99,2489.17,72724,21141,77.47722793373461,0.0311132283875135,Indie/AA,31.113228387513544,1355.0
Notes of Soul,29.99,2489.17,16065,4715,77.30991337824832,0.0310460383741866,Indie/AA,31.04603837418663,1356.0
Railroads Online,29.99,2489.17,4296,1269,77.19676549865228,0.0310006005608662,Indie/AA,31.00060056086624,1357.0
Wartales,34.99,2904.17,26326,3010,89.73956913007909,0.0308896102913354,Indie/AA,30.88961029133548,1358.0
Crysis Remastered,29.99,2489.17,9972,3146,76.01768562280836,0.0305271068331914,Indie/AA,30.52710683319145,1359.0
Pagan: Absent Gods,19.99,1659.1699999999998,1395,1386,50.16181229773464,0.0302148649221071,Indie/AA,30.21486492210716,1360.0
The Dungeon Of Naheulbeuk: The Amulet Of Chaos,34.99,2904.17,6538,931,87.53514526710403,0.0301308168771892,Indie/AA,30.130816877189293,1361.0
Ashes of the Singularity: Escalation,29.99,2489.17,3548,1224,74.35037720033529,0.0298575507697608,Indie/AA,29.857550769760813,1362.0
WRC 8 FIA World Rally Championship,29.99,2489.17,1499,532,73.80600689315608,0.0296389430814587,Indie/AA,29.638943081458727,1363.0
Bomb Rush Cyberfunk,39.99,3319.17,13120,267,98.00552775080304,0.0295182257989208,Indie/AA,29.51822579892085,1364.0
Resident Evil 4,39.99,3319.17,177539,4169,97.70565962973562,0.0294279087003784,Indie/AA,29.42790870037848,1365.0
Stationeers,34.99,2904.17,6040,1026,85.47976224172092,0.0294233253963523,Indie/AA,29.423325396352336,1366.0
THE 4 SINS,9.99,829.1700000000001,959,2983,24.32775240994419,0.0293045429369215,Indie/AA,29.304542936921575,1367.0
Desperados III,39.99,3319.17,14055,485,96.6643741403026,0.0291142845517857,Indie/AA,29.11428455178578,1368.0
Sword and Fairy 7,29.99,2489.17,13296,5058,72.44197450147108,0.0290911763058229,Indie/AA,29.091176305822927,1369.0
Satellite Reign,29.99,2489.17,3737,1492,71.46681965959074,0.0286995745911286,Indie/AA,28.699574591128613,1370.0
Kerbal Space Program,39.99,3319.17,121084,6078,95.22027020650825,0.0286793357588642,Indie/AA,28.67933575886423,1371.0
Marauders,29.99,2489.17,14768,5911,71.41544562116157,0.0286789438557052,Indie/AA,28.67894385570526,1372.0
Company of Heroes 3,23.99,1991.17,18936,14310,56.957227937195455,0.0285905459560155,Indie/AA,28.590545956015525,1373.0
Tetris® Effect: Connected,39.99,3319.17,7528,404,94.90670700958144,0.0285848938486828,Indie/AA,28.58489384868288,1374.0
Plants vs. Zombies: Battle for Neighborville™,29.99,2489.17,12261,4994,71.05766444508838,0.0285352664456998,Indie/AA,28.535266445699843,1375.0
Train Simulator Classic,29.99,2489.17,20015,8172,71.00791144854011,0.028515286686668,Indie/AA,28.515286686668023,1376.0
From Hell,12.99,1078.17,4,9,30.76923076923077,0.0285119404442588,Indie/AA,28.5119404442588,1377.0
Masked Shooters 2,29.99,2489.17,1128,472,70.5,0.0283113201106751,Indie/AA,28.311320110675176,1378.0
BlazBlue Centralfiction,39.99,3319.17,10363,664,93.9784166137662,0.0283053026241928,Indie/AA,28.305302624192795,1379.0
Bloodstained: Ritual of the Night,39.99,3319.17,36999,2486,93.70393820438142,0.0282226326376003,Indie/AA,28.222632637600302,1380.0
The Outlast Trials,39.99,3319.17,62533,4423,93.39416930521536,0.0281293335296732,Indie/AA,28.12933352967329,1381.0
